date,weekday,1.67,1.34,1.66,2.67,OT hr SUM,Base,Travel,OT Salary,Total,Month SLR,Remark
2025-10-23,四,0,0,0,0,0.00,1666.67,1236.00,0.00,2902.67,84469.83,
2025-10-24,五,0,0,0,0,0.00,1666.67,1236.00,0.00,2902.67,84469.83,
2025-10-25,六,0,2,6,4,23.32,1666.67,1236.00,4858.33,7761.00,84469.83,
2025-10-26,日,0,0,0,0,0.00,1666.67,1236.00,0.00,2902.67,84469.83,
2025-10-27,一,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,84469.83,
2025-10-28,二,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,84469.83,
2025-10-29,三,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,84469.83,
2025-10-30,四,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,84469.83,
2025-10-31,五,2,2,0,0,6.02,1666.67,1236.00,1254.17,4156.83,84469.83,
2025-11-01,六,0,2,6,4,23.32,1666.67,1236.00,4858.33,7761.00,76247.25,
2025-11-02,日,0,0,0,0,0.00,1666.67,1236.00,0.00,2902.67,76247.25,
2025-11-03,一,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,76247.25,
2025-11-04,二,3,2,0,0,7.69,1666.67,1236.00,1602.08,4504.75,76247.25,
2025-11-05,三,0,2,0,0,2.68,1666.67,1236.00,558.33,3461.00,76247.25,
2025-11-06,四,2,2,0,0,6.02,1666.67,1236.00,1254.17,4156.83,76247.25,
